0.0000000,0.2808930,0.5131731,-2.7207555,-1.8264645,2.0000000,0.0000000
0.1963493,0.3534317,0.3376540,-2.6106444,1.9376163,2.0000000,0.0000000
0.3926987,0.4621288,0.1919081,-2.4320452,0.5374821,2.0000000,0.0000000
0.5890480,0.6085918,0.0381063,-2.3303419,0.4991268,2.0000000,0.0000000
0.7853974,0.7688776,-0.0948801,-2.1737173,1.1243099,2.0000000,0.0000000
0.9817467,0.9395037,-0.1807438,-1.8704603,2.0360166,2.0000000,0.0000000
1.1780961,1.1242172,-0.1998523,-1.4903889,1.7362557,2.0000000,0.0000000
1.3744454,1.3159534,-0.1545518,-1.2038638,1.2292724,2.0000000,0.0000000
1.5707948,1.4938087,-0.0619696,-0.9938307,0.7388514,2.0000000,0.0000000
1.7671441,1.6539080,0.0541696,-0.9141406,0.0816244,2.0000000,0.0000000
1.9634935,1.8111241,0.1719870,-0.9640631,-0.6096348,2.0000000,0.0000000
2.1598428,1.9816515,0.2699412,-1.1613049,-1.4093102,2.0000000,0.0000000
2.3561922,2.1691483,0.3181886,-1.4905259,-1.8238765,2.0000000,0.0000000
2.5525415,2.3705841,0.3108640,-1.6645801,-0.0574462,2.0000000,0.0000000
2.7488909,2.5664625,0.3016120,-1.5069023,1.9889356,2.0000000,0.0000000
2.9452402,2.7408831,0.3607435,-0.9574520,2.8990173,2.0000000,0.0000000
3.1415896,2.8704724,0.5069597,-0.5454392,1.3515903,2.0000000,0.0000000
3.3379389,2.9572909,0.6928942,-0.3469854,0.7687418,2.0000000,0.0000000
3.5342882,3.0104514,0.8840024,-0.1913569,0.9109888,2.0000000,0.0000000
3.7306376,3.0254017,1.0833863,0.0575580,1.2959461,2.0000000,0.0000000
3.9269869,3.0017120,1.2634925,0.1490597,-0.0659813,2.0000000,0.0000000
4.1233363,2.9650244,1.4471728,0.2838990,1.1726794,2.0000000,0.0000000
4.3196856,2.8869639,1.6317946,0.5050754,0.9188059,2.0000000,0.0000000
4.5160350,2.7749014,1.7972766,0.6880871,0.9952395,2.0000000,0.0000000
4.7123843,2.6295387,1.9372069,0.9390908,1.5042948,2.0000000,0.0000000
4.9087337,2.4563171,2.0251584,1.2767556,1.9200726,2.0000000,0.0000000
5.1050830,2.2665901,2.0455523,1.6430236,1.5601518,2.0000000,0.0000000
5.3014324,2.0771509,2.0112005,1.8202417,0.3964983,2.0000000,0.0000000
5.4977817,1.8813590,1.9588655,1.8163591,-0.4248502,2.0000000,0.0000000
5.6941311,1.6913010,1.9212198,1.7143057,-0.5418747,2.0000000,0.0000000
5.8904804,1.4966525,1.9033183,1.6126250,-0.4839412,2.0000000,0.0000000
6.0868298,1.3006840,1.9035506,1.5347175,-0.2326252,2.0000000,0.0000000
6.2831791,1.1061932,1.9127477,1.5229818,0.0964392,2.0000000,0.0000000
6.4795285,0.9056558,1.9184275,1.5717015,0.3882111,2.0000000,0.0000000
6.6758778,0.7002600,1.9078332,1.6845681,0.7328936,2.0000000,0.0000000
6.8722271,0.5057124,1.8676727,1.8841354,1.3384038,2.0000000,0.0000000
7.0685765,0.3405333,1.7850779,2.2124483,2.1656358,2.0000000,0.0000000
7.2649258,0.2144091,1.6460429,2.5817984,1.6913347,2.0000000,0.0000000
7.4612752,0.1354746,1.4646554,2.8636684,1.1862798,2.0000000,0.0000000
7.6576245,0.1011853,1.2628205,3.0714860,0.8535467,2.0000000,0.0000000
7.8539739,0.1032755,1.0601766,-3.0549104,0.7333226,2.0000000,0.0000000
8.0503232,0.1334578,0.8718920,-2.9054224,0.8965949,2.0000000,0.0000000
8.2466726,0.2064744,0.6645418,-2.7096045,0.6810119,2.0000000,0.0000000
8.4430219,0.2808930,0.5131731,-2.7207555,-1.8264645,2.0000000,0.0000000
