0.0000000,-4.6356389,2.5693640,-0.8363495,-0.9721253,1.3059974,1.3077109
0.1992939,-4.4723540,2.6927172,-1.0008010,-0.6638626,1.4922691,1.4770100
0.3985878,-4.3021487,2.7881713,-1.1136229,-0.5170813,1.6779705,1.4876513
0.5978817,-4.1148155,2.8690517,-1.2065779,-0.3299691,1.8462245,1.8069325
0.7971757,-3.9397653,2.9313445,-1.2570305,-0.5223943,2.0319366,0.2960029
0.9964696,-3.7423705,2.9806951,-1.4001735,-0.7064227,2.0607643,-0.0851621
1.1957635,-3.5563054,3.0029167,-1.4904747,-0.3076650,2.0525118,0.7243362
1.3950574,-3.3483347,3.0143711,-1.5357600,-0.1511392,2.1216777,-2.0373975
1.5943513,-3.1447369,3.0182824,-1.5727129,-0.2809614,1.9207901,-1.4811099
1.7936452,-2.9452049,3.0107943,-1.6515238,-0.5101631,1.7604210,-1.2251081
1.9929392,-2.7453725,2.9825796,-1.7777306,-0.6998884,1.6157874,-1.1897392
2.1922331,-2.5484590,2.9257627,-1.9292697,-0.8062430,1.4616954,-1.1274794
2.3915270,-2.3733512,2.8422847,-2.1123791,-1.1299230,1.2989048,-0.4846073
2.5908209,-2.2155262,2.7159402,-2.3988238,-1.7037220,1.2222910,-0.0297222
2.7901148,-2.1126200,2.5526821,-2.7703191,-2.0240890,1.2174351,-0.0297222
2.9894087,-2.0748966,2.3664670,-3.0787964,-1.0776837,1.2125598,1.3859955
3.1887026,-2.0784014,2.1632850,3.0698733,-0.3153002,1.4222315,2.3216659
3.3879966,-2.0963744,1.9611282,3.0436954,-0.0547118,1.7170120,2.7795822
3.5872905,-2.1163891,1.7627453,3.0411994,0.0298252,2.0139607,2.7976901
3.7865844,-2.1352605,1.5641570,3.0543456,0.0803925,2.2740191,2.4805777
3.9858783,-2.1510924,1.3651696,3.0698781,0.0752448,2.4819128,2.4129733
4.1851722,-2.1638860,1.1667961,3.0843385,0.0705595,2.6686462,2.3546838
4.3844661,-2.1739435,0.9669377,3.0982003,0.0680092,2.8390529,2.2901950
4.5837601,-2.1812254,0.7687637,3.1114503,0.0656465,2.9955075,2.2310083
4.7830540,-2.1859920,0.5681867,3.1239915,0.0591652,3.1404327,2.2187198
4.9823479,-2.1883630,0.3698349,3.1350671,0.0524810,3.2782118,-2.0883525
5.1816418,-2.1886492,0.1692030,-3.1380376,0.0485926,3.1486951,-2.7163876
5.3809357,-2.1870079,-0.0291748,-3.1287026,0.0455260,2.9717943,-2.7749512
5.5802296,-2.1835090,-0.2296684,-3.1194757,0.0480793,2.7794783,-2.7791931
5.7795236,-2.1781470,-0.4278333,-3.1094308,0.0534194,2.5724982,-2.7752609
5.9788175,-2.1708224,-0.6282005,-3.1029531,-0.0071847,2.3476716,-2.6299029
6.1781114,-2.1639228,-0.8258160,-3.1135872,-0.1029733,2.1126558,-1.5495667
6.3774053,-2.1619350,-1.0266983,3.1229448,-0.3972130,1.9610396,-0.2508662
6.5766992,-2.1756472,-1.2231706,3.0086999,-0.7540006,1.9353770,-0.0853323
6.7759931,-2.2174548,-1.4193057,2.8527416,-0.8053244,1.9265699,-0.0738417
6.9752870,-2.2897127,-1.6048397,2.6867819,-0.8147217,1.9189161,-0.0738417
7.1745810,-2.3909714,-1.7766917,2.5346205,-0.7213187,1.9112317,0.2919107
7.3738749,-2.5169847,-1.9332869,2.3961387,-0.6378492,1.9414321,0.5202602
7.5731688,-2.6580925,-2.0694722,2.2856906,-0.5050120,1.9941234,0.9120622
7.7724627,-2.8141182,-2.1923535,2.1938740,-0.3933773,2.0832823,-0.5171056
