0.442545, 0.182313
0.485549, 0.159852
0.571297, 0.143451
0.590348, 0.146031
0.594594, 0.140769
0.930713, 0.0744861
1.04714, 0.0711902
1.26449, 0.182272
1.39656, 0.229568
1.49522, 0.199559
1.61998, 0.278265
1.76579, 0.330442
1.86514, 0.268907
1.89967, 0.104287
2.02071, 0.194614
2.13505, 0.144238
2.23673, 0.158174
2.36461, -0.00224088
2.47394, -0.0561321
2.60412, -0.0952176
2.70851, -0.118968
2.81859, -0.0337012
2.97185, -0.0579113
3.08593, -0.0565434
3.27964, -0.150193
3.40672, -0.143565
3.63032, 0.116439
3.75366, 0.148953
3.86715, 0.134216
4.00059, -0.0141671
4.12398, -0.053103
4.31474, -0.00780268
4.43052, 0.0132481
4.55803, 0.0153077
4.69048, 0.0453921
4.8749, 0.0435048
4.95199, -0.017064
4.97964, -0.00409896
5.02757, 0.0298706
5.06471, -0.0504713
5.09191, -0.0552709
5.09442, 0.0363764
