-0.707657, -0.522864, -7.17328e-10
-0.759704, -0.433644, -5.96051e-10
-0.720708, -0.532768, -1.88644e-08
-0.687804, -0.435098, -1.49101e-10
-0.715782, -0.53632, -9.6276e-11
-0.680931, -0.436995, -9.97078e-12
-0.773077, -0.486516, -8.77068e-11
-0.669386, -0.467341, -2.49964e-12
-0.756176, -0.521281, -4.18095e-11
-0.647214, -0.489021, 0.572086
-0.549469, -0.523365, 1.02399
-0.444278, -0.501353, 1.26894
-0.308195, -0.484631, 1.53371
-0.152495, -0.37958, 1.73774
-0.0309547, -0.361419, 1.82703
0.174888, -0.268851, 1.80311
0.30382, -0.167826, 1.95887
0.511044, -0.0688584, 2.00563
0.635675, -0.000982125, 1.91045
0.779494, 0.0535706, 2.01235
0.9358, 0.133498, 1.97711
1.08775, 0.185126, 2.03603
1.21547, 0.23961, 2.14837
1.43174, 0.269315, 2.28254
1.54667, 0.286123, 2.40413
1.72294, 0.285504, 2.35081
1.83717, 0.264638, 2.48009
2.0408, 0.266671, 2.67108
2.1578, 0.282722, 2.77074
2.2874, 0.342176, 2.93297
2.43204, 0.389054, 2.97796
2.54463, 0.374276, 3.05181
2.67035, 0.383795, 3.18723
2.84717, 0.354603, 3.2669
2.96078, 0.334538, 3.33967
3.15111, 0.319169, 3.41451
3.31436, 0.269601, 3.30195
3.48912, 0.214832, 3.20603
3.76481, 0.223702, 3.15473
3.86599, 0.229763, 3.13633
4.14335, 0.199123, 3.02617
4.38222, 0.148932, 2.89904
4.52699, 0.102019, 2.82234
4.73502, 0.151956, 2.66982
4.8966, 0.165914, 2.58214
5.05011, 0.145284, 2.44107
5.20173, 0.205139, 2.22332
5.438, 0.152146, 2.06111
5.53849, 0.363362, 1.89025
5.54902, 0.479817, 1.74866
5.61867, 0.637523, 1.76607
5.66504, 0.741587, 1.72355
5.749, 0.861914, 1.71544
5.88866, 0.913535, 1.62466
5.95222, 1.02391, 1.60465
5.86253, 1.12056, 1.61072
5.8307, 1.24735, 1.5903
5.79259, 1.38035, 1.63667
5.85759, 1.48916, 1.54208
4.78063, 1.4096, 1.5707
5.31326, 1.61092, 1.55418
5.61869, 1.66551, 1.53226
5.77696, 2.31204, 1.71241
5.88704, 1.9268, 1.74926
5.71574, 1.87167, 1.76873
5.54082, 1.95606, 1.73073
5.41643, 2.02769, 1.83741
5.32869, 2.09725, 1.87035
5.13696, 2.18231, 1.85108
5.01035, 2.22691, 1.91273
4.91459, 2.28013, 1.98341
4.81893, 2.31016, 2.01529
4.71296, 2.36311, 2.1694
