0.913598, 0.319735, 0.7
1.01489, 0.352818, 0.7
1.11936, 0.346409, 0.7
1.22064, 0.340401, 0.7
1.32731, 0.342157, 0.7
1.42768, 0.31954, 0.7
1.54864, 0.332593, 0.7
1.66429, 0.361322, 0.7
1.77354, 0.35316, 0.7
1.87855, 0.388594, 0.7
1.97748, 0.406763, 0.7
2.08574, 0.370192, 0.7
2.17736, 0.312912, 0.7
2.28109, 0.320345, 0.7
2.38525, 0.288594, 0.7
2.48651, 0.268633, 0.7
2.58784, 0.262179, 0.7
2.69266, 0.243822, 0.7
2.80163, 0.284496, 0.7
2.89647, 0.325908, 0.7
2.98236, 0.274548, 0.7
3.0853, 0.23256, 0.7
3.189, 0.215318, 0.7
3.28908, 0.190596, 0.7
3.38732, 0.2122, 0.7
3.504, 0.207919, 0.7
3.60131, 0.241307, 0.7
3.70401, 0.231749, 0.7
