-1.29437, 0.255045, 0
-1.18922, 0.247159, -1.60732e-30
-1.29235, 0.227969, -5.31791e-30
-1.21063, 0.293032, -7.7336e-30
-1.22842, 0.193339, -5.70057e-30
-1.2776, 0.284271, -1.74145e-30
-1.26003, 0.185489, -2.07544e-32
-1.15838, 0.150864, -1.57908e-32
-1.2468, 0.219566, -5.2931e-31
-1.26361, 0.328681, -2.48616e-33
-1.19143, 0.200406, -7.98359e-32
-1.26855, 0.119707, 0.388909
-1.2698, -0.0359154, 1.02307
-1.22446, -0.158808, 1.24409
-1.08742, -0.232334, 1.31386
-2.30142, -0.318812, 1.39235
-1.65723, -0.312763, 1.40894
-1.17945, -0.320174, 1.36457
-0.910485, -0.402066, 1.46783
-0.806571, -0.38766, 1.4823
-2.14599, 0.360675, 1.52843
-2.59895, -0.250497, 1.51533
-1.52952, -0.528185, 1.59507
-1.0604, -0.424708, 1.58208
-0.701657, -0.358339, 1.63918
-0.598815, -0.327207, 1.75315
-0.424628, -0.301312, 1.82661
-0.354726, -0.218395, 1.88176
-0.250558, -0.194081, 2.02721
-0.173162, -0.118715, 2.08431
-0.0380794, -0.0733445, 2.16628
0.0880284, -0.00880814, 2.10707
0.100311, 0.127502, 2.09722
0.258897, 0.0989096, 2.08004
0.498919, 0.17186, 2.16228
0.626922, 0.207407, 2.05348
0.759843, 0.213453, 2.17185
0.866856, 0.209645, 2.22166
0.982591, 0.207042, 2.27758
1.09469, 0.210044, 2.37484
1.22086, 0.205138, 2.43831
1.3389, 0.199742, 2.39979
1.47091, 0.183741, 2.28024
1.56823, 0.156103, 2.31226
1.6706, 0.147424, 2.4027
1.89028, 0.176934, 2.35875
1.99777, 0.163346, 2.42146
2.12238, 0.212525, 2.47646
2.26628, 0.269909, 2.51386
2.40095, 0.326204, 2.57234
2.51343, 0.343568, 2.72711
2.66906, 0.351797, 2.80948
2.86667, 0.48376, 2.91281
3.00166, 0.495775, 2.99452
3.24863, 0.463812, 2.9973
3.38591, 0.434254, 2.87375
3.52917, 0.427736, 2.8149
3.75339, 0.370696, 2.71926
3.90226, 0.32371, 2.67024
4.12995, 0.27378, 2.59197
4.29086, 0.268559, 2.50378
4.43852, 0.211099, 2.40772
4.57838, 0.184728, 2.33622
4.69045, 0.156456, 2.26023
4.82728, 0.120763, 2.13038
4.95399, 0.167939, 2.00678
5.08404, 0.216527, 1.85374
5.23279, 0.245351, 1.60318
5.34711, 0.294945, 1.49195
5.49602, 0.273227, 1.44643
5.39919, 0.510405, 1.49147
5.41194, 0.402584, 1.50993
5.47318, 0.496518, 1.48523
5.51032, 0.619371, 1.48244
5.59146, 0.720306, 1.56175
5.59676, 0.840258, 1.55831
5.72943, 1.00081, 1.58301
5.74123, 1.13651, 1.57065
5.71507, 1.23355, 1.54953
5.61436, 1.2814, 1.62751
5.59292, 1.41206, 1.68344
5.55069, 1.51231, 1.74123
5.50548, 1.60783, 1.86084
5.40905, 1.73231, 1.97327
5.28459, 1.855, 2.11533
5.1591, 1.88938, 2.32894
4.96895, 1.9701, 2.42618
4.75548, 2.03057, 2.59465
4.65348, 2.02855, 2.64007
4.39688, 2.02725, 2.72734
4.26225, 2.01094, 2.81292
4.06695, 2.02895, 2.86444
3.95039, 2.06129, 3.03596
3.72329, 2.0472, 3.1028
3.49201, 2.0503, 3.18565
3.32398, 2.10529, 3.10236
3.19507, 2.13593, 3.1963
3.08626, 2.12438, 3.16233
2.97822, 2.1104, 3.1871
2.84006, 2.08991, 3.1465
2.69904, 2.10574, 3.21381
2.53879, 2.09442, 3.16679
2.36882, 2.08721, 3.23122
2.53787, 2.08413, 3.18305
2.01496, 2.12804, 3.16943
2.04688, 1.81124, 3.12573
1.8509, 1.78819, 3.2227
1.53174, 1.65815, 3.10684
1.43093, 1.5787, 2.99527
1.17522, 1.4546, 2.89801
1.01313, 1.43842, 2.84421
0.762607, 1.41458, 2.69808
0.627804, 1.3903, 2.6282
0.512574, 1.38168, 2.53029
0.407144, 1.38638, 2.47901
0.296963, 1.43751, 2.40181
0.162848, 1.45399, 2.28971
0.0726626, 1.50769, 2.18941
-0.019684, 1.55373, 2.11744
-0.146996, 1.53807, 1.92857
-0.30189, 1.52941, 1.81678
-0.427315, 1.44842, 1.69932
-0.53391, 1.41346, 1.71156
-0.632947, 1.31367, 1.61312
-0.699368, 1.22438, 1.62933
-0.78054, 1.14447, 1.61571
-0.878727, 1.01911, 1.59506
-0.846267, 0.888435, 1.52305
-0.819975, 0.767446, 1.52838
-1.08959, 0.163589, 1.54822
-1.30373, 0.47842, 1.53688
-1.10796, 0.551944, 1.56267
-1.00562, 0.561725, 1.53833
-0.909645, 0.451156, 1.50009
-0.837044, 0.37342, 1.47511
-0.783364, 0.287323, 1.47987
-0.705632, 0.171394, 1.47446
-0.705227, 0.0179752, 1.48974
3.08168, -2.12376, 1.50319
1.34958, 0.190604, 1.47141
0.197151, 0.0504939, 1.55735
-0.324612, -0.0583682, 1.61272
-0.424705, -0.120675, 1.61222
-0.370788, -0.208265, 1.73524
-0.26405, -0.23062, 1.80791
-0.149255, -0.25684, 1.91193
0.0285457, -0.262338, 2.07533
0.143088, -0.228018, 2.14894
0.276751, -0.250726, 2.23461
0.420624, -0.241522, 2.34098
0.60608, -0.246646, 2.5019
0.833301, -0.273589, 2.59568
0.993712, -0.284318, 2.69412
1.11549, -0.283642, 2.76647
1.20188, -0.348741, 2.76626
1.32863, -0.36453, 2.84933
1.45629, -0.345653, 2.94547
1.56906, -0.338512, 3.02864
1.69998, -0.341486, 2.99502
1.82417, -0.312501, 3.08216
1.97145, -0.270977, 3.08216
2.11664, -0.255467, 3.16186
2.36213, -0.216351, 3.18657
2.25799, -0.203462, 3.14194
2.73109, -2.23951, 3.10507
2.36482, -0.179375, 3.07856
2.33612, -0.0648396, 2.95034
2.37424, -0.220178, 2.80579
2.46957, -0.16932, 2.62343
2.25838, -0.201838, 2.59248
2.38975, -0.0218596, 2.55145
2.589, 0.0266833, 2.52645
2.65925, 0.226864, 2.46733
2.76738, 0.222438, 2.41446
2.90908, 0.17356, 2.32346
3.09107, 0.143018, 2.25748
3.30856, 0.118882, 2.20993
3.5666, 0.120666, 2.23631
3.68392, 0.0862809, 2.24919
3.85193, 0.0752925, 2.10134
3.9913, 0.0418575, 1.97793
